style1,style2
"eureka is served by an all volunteer fire department, which provides excellent fire protection, rescue, and vehicle rescue services for eureka township and the surrounding areas.","eureka is served by an all volunteer fire department, which provides fire protection, rescue, and vehicle rescue services for eureka township and the surrounding areas."
his life was tragically cut short by a boat accident in january 1924 while returning to kollam from alappuzha after attending a function as the chief guest.,his life was cut short by a boat accident in january 1924 while returning to kollam from alappuzha after attending a function as the chief guest.
successful legal challenges to matthias rath,legal challenges to matthias rath
"welbeck scored the only goal as sunderland beat bolton wanderers on 18 december 2010 , and also scored on january 1 2011 as sunderland defeated blackburn rovers 3-0. welbeck's fine form for sunderland promted widespread calls for an england call up.","welbeck scored the only goal as sunderland beat bolton wanderers on 18 december 2010 , and also scored on january 1 2011 as sunderland defeated blackburn rovers 3-0. welbeck's form for sunderland promted widespread calls for an england call up."
"tone mason is a grammy-nominated canadian hip-hop and r&b production team from toronto, ontario, composed of aloysius brown, don d., and mellenius.","tone mason is a canadian hip-hop and r&b production team from toronto, ontario, composed of aloysius brown, don d., and mellenius."
unfortunantly mouse finds himself trapped and is spotted by soldiers and killed.,mouse finds himself trapped and is spotted by soldiers and killed.
"verbosity (also called wordiness, prolixity and garrulousness) in language refers to speech or writing which uses an excess of words.","verbosity (also called wordiness, prolixity and garrulousness) in language refers to speech or writing which is judged to use an excess of words."
"partly as a result of this tragedy , plexiglass panels sitting atop the boards of hockey rinks to protect spectators have been supplemented with mesh nets that extend above the upper edge of the plexiglass.","partly as a result of this event , plexiglass panels sitting atop the boards of hockey rinks to protect spectators have been supplemented with mesh nets that extend above the upper edge of the plexiglass."
"an early adversary of so-called critical rationalism, karl-otto apel attempted a comprehensive refutation of popper's philosophy.","an early adversary of popper's critical rationalism, karl-otto apel attempted a comprehensive refutation of popper's philosophy."
"james ""jim"" walter gilchrist, jr. (born january 13, 1949) is the american co-founder, along with chris simcox, of the minuteman project, a group whose alleged aim is to prevent illegal immigration across the united states's southern border.","james ""jim"" walter gilchrist, jr. (born january 13, 1949) is the american co-founder, along with chris simcox, of the minuteman project, a group whose aim is to prevent illegal immigration across the united states's southern border."
"mbatha-raw was born in oxford, england, in 1983 and grew up in the small town of witney in oxfordshire.","mbatha-raw was born in oxford, england, in 1983 and grew up in the town of witney in oxfordshire."
"lenworth george henry cbe (born 29 august 1958) is an english actor, writer and a terrible comedian.","lenworth george henry cbe (born 29 august 1958) is an english actor, writer and a comedian."
"humans, or human beings, are bipedal animals belonging to the mammalian species homo sapiens (latin for ""wise man"" or ""knowing man"") under the family hominidae (known as the great apes).","humans, or human beings, are bipedal apes belonging to the mammalian species homo sapiens (latin for ""wise man"" or ""knowing man"") under the family hominidae (known as the great apes)."
"decry the ""campaign to eliminate criticism of israel from college campuses"" (see campus watch and u.s. congress bill h.r.","decry what they call a ""campaign to eliminate criticism of israel from college campuses"" (see campus watch and u.s. congress bill h.r."
"the lds church confirms that no tithing money is being used for construction of the complex; the entire project is being financed through the church's commercial real-estate arm, property reserve, inc.","the lds church claims that no tithing money is being used for construction of the complex; the entire project is being financed through the church's commercial real-estate arm, property reserve, inc."
"in august 2006, it was announced that softbank capital would invest $5 million in the online news site, which has grown dramatically popular in only a year, to help expand it.","in august 2006, it was announced that softbank capital would invest $5 million in the online news site, which has grown popular in only a year, to help expand it."
"the film contains excellent second unit and miniature photography, shot by ray kellogg.","the film contains second unit and miniature photography, shot by ray kellogg."
"female clergymen have been allowed since 1948, and the first female bishop was instituted in 1995. today two thirds of theology students are women, and the clergy is expected to have a female majority in near future.","female clergy have been allowed since 1948, and the first female bishop was instituted in 1995. today two thirds of theology students are women, and the clergy is expected to have a female majority in near future."
"in china the bulk of the country drives on the right, but the special administrative regions of hong kong and macau which were returned to the country in the late 1990s drive on the left.","in china the bulk of the country drives on the right, but the special administrative regions of hong kong and macau which were transferred to the country in the late 1990s drive on the left."
un report october 1 1948 www .,un report october 1 1948 indaily .
